ndmi_mean,ndmi_std,date,area
-0.18705103,0.029297,2017-02-01,ceel buur
-0.19728151,0.030095955,2017-03-01,ceel buur
-0.19648054,0.02760176,2017-04-01,ceel buur
-0.20699571,0.03434847,2017-05-01,ceel buur
-0.16601281,0.050570916,2017-06-01,ceel buur
-0.17110886,0.036998484,2017-07-01,ceel buur
-0.18866463,0.042755168,2017-08-01,ceel buur
-0.18950292,0.031675886,2017-09-01,ceel buur
-0.19557877,0.03043954,2017-10-01,ceel buur
-0.17511003,0.031248651,2017-11-01,ceel buur
-0.12957418,0.05773853,2017-12-01,ceel buur
-0.14521718,0.04320752,2018-01-01,ceel buur
-0.17422722,0.03466996,2018-02-01,ceel buur
-0.19555189,0.04686665,2018-03-01,ceel buur
-0.19315548,0.029250523,2018-04-01,ceel buur
-0.14869446,0.075015895,2018-05-01,ceel buur
-0.10373266,0.055211328,2018-06-01,ceel buur
-0.14173034,0.049988937,2018-07-01,ceel buur
-0.16169666,0.041979015,2018-08-01,ceel buur
-0.17905396,0.03155297,2018-09-01,ceel buur
-0.19428244,0.031195313,2018-10-01,ceel buur
-0.15268598,0.057704236,2018-11-01,ceel buur
-0.1595552,0.045528237,2018-12-01,ceel buur
-0.18689844,0.040521644,2019-01-01,ceel buur
-0.1954212,0.032308836,2019-02-01,ceel buur
-0.19989166,0.027771136,2019-03-01,ceel buur
-0.20105582,0.028380306,2019-04-01,ceel buur
-0.20150313,0.03663339,2019-05-01,ceel buur
-0.16439947,0.06059083,2019-06-01,ceel buur
-0.1811784,0.03416489,2019-07-01,ceel buur
